year,type,title,note,journal,doi,author,ENTRYTYPE,ID
1999,Journal,introduction to set constraint-based program analysis,135,Science of Computer Programming,10.1016/s0167-6423(99)00007-6,Aiken A.,article,RRexportAlexanderAiken1999
2009,Journal,specifying norm-governed computational societies,218,ACM Transactions on Computational Logic,10.1145/1459010.1459011,Artikis A.,article,RRexportAlexanderArtikis2009
1998,Journal,ins and outs in refusal testing,69,Unknown Venue,None,Heerink A.W.,article,RRexportAlexanderWilhelmusHeerink1998
2009,Book,model-based framework for schedulability analysis using uppaal 41,61,"Computational analysis, synthesis, and design of dynamic models series",10.1201/9781420067859-c4,David A.,article,RRexportAlexandreDavid2009
2009,InProceedings,timed testing under partial observability,23,"International Conference on Software Testing, Verification, and Validation",10.1109/icst.2009.38,David A.,article,RRexportAlexandreDavid2009
2009,Book,model-based framework for schedulability analysis using uppaal 41,61,"Computational analysis, synthesis, and design of dynamic models series",10.1201/9781420067859-c4,David A.,article,RRexportAlexandreDavid2009
2008,Book,testing of software and communicating systems,60,Unknown Venue,None,Petrenko A.,article,RRexportAlexandrePetrenko2008
1986,Book,"compilers: principles, techniques, and tools",8342,Unknown Venue,None,Aho A.V.,article,RRexportAlfredV.Aho1986
2005,Book,an approach for the verification of systemc designs using asml,25,LNCS,10.1007/11562948_8,Habibi A.,article,RRexportAliHabibi2005
1977,InProceedings,the temporal logic of programs,5607,Unknown Venue,10.1109/sfcs.1977.32,Pnueli A.,article,RRexportAmirPnueli1977
1996,Book,a platform for combining deductive with algorithmic verification,83,LNCS,10.1007/3-540-61474-5_68,Pnueli A.,article,RRexportAmirPnueli1996
2010,Book,a note on traces refinement and the conf relation in the unifying theories of programming,17,LNCS,10.1007/978-3-642-14521-6_4,Cavalcanti A.,article,RRexportAnaCavalcanti2010
2003,Journal,new approaches for passive testing using an extended finite state machine specification,84,Information and Software Technology,10.1016/s0950-5849(03)00063-6,Cavalli A.,article,RRexportAnaCavalli2003
1996,Journal,standardization of formal methods in conformance testing of communication protocols,17,Computer Networks and ISDN Systems,10.1016/s0169-7552(96)00015-3,Cavalli A.R.,article,RRexportAnaR.Cavalli1996
2004,Book,time-optimal real-time test case generation using uppaal,93,LNCS,10.1007/978-3-540-24617-6_9,Hessel A.,article,RRexportAndersHessel2004
2004,Book,time-optimal test cases for real-time systems,24,LNCS,10.1007/978-3-540-40903-8_19,Hessel A.,article,RRexportAndersHessel2004
2007,Journal,cover - a real-time test case generation tool,17,Unknown Venue,None,Hessel A.,article,RRexportAndersHessel2007
2007,Journal,a global algorithm for model-based test suite generation,33,Electronic Notes in Theoretical Computer Science,10.1016/j.entcs.2007.08.005,Hessel A.,article,RRexportAndersHessel2007
1998,Book,"formal techniques in real-time and fault-tolerant systems: 5th international symposium, ftrtft '98, lyngby, denmark, september 14-18, 1998",11,IEEE Computer Society Press eBooks,None,Ravn A.P.,article,RRexportAndersPeterRavn1998
