year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2008,InProceedings,saner: composing static and dynamic analysis to validate sanitization in web applications,387,Proceedings - IEEE Symposium on Security and Privacy/Proceedings of the ... IEEE Symposium on Security and Privacy,10.1109/sp.2008.22,Balzarotti D.,article,RRexportDavideBalzarotti2008
2007,InProceedings,a formal road from institutional norms to organizational structures,11,Unknown Venue,10.1145/1329125.1329234,Grossi D.,article,RRexportDavideGrossi2007
1998,Journal,on the bisimulation proof method,225,Mathematical Structures in Computer Science,10.1017/s0960129598002527,SANGIORGI D.,article,RRexportDAVIDESANGIORGI1998
2003,Journal,object ownership and containment,141,Unknown Venue,None,Clarke D.G.,article,RRexportDavidGerardClarke2003
1996,InProceedings,executable object modeling with statecharts,124,Unknown Venue,10.5555/227726.227770,Harel D.,article,RRexportDavidHarel1996
1996,Journal,the statemate semantics of statecharts,1057,ACM Transactions on Software Engineering and Methodology,10.1145/235321.235322,Harel D.,article,RRexportDavidHarel1996
2000,Book,dynamic logic,1528,Unknown Venue,None,Harel D.,article,RRexportDavidHarel2000
2006,Book,message sequence charts,171,Kluwer Academic Publishers eBooks,10.1007/0-306-48738-1_4,Harel D.,article,RRexportDavidHarel2006
2005,Journal,a formal approach to component adaptation and composition,23,Unknown Venue,None,Hemer D.,article,RRexportDavidHemer2005
2009,Book,formal techniques for distributed systems,148,LNCS,10.1007/978-3-642-02138-1,Lee D.,article,RRexportDavidLee2009
1992,Journal,tabular representation of relations,120,Unknown Venue,None,Parnas D.L.,article,RRexportDavidLorgeParnas1992
2005,Book,concurrency and automata on infinite sequences,1910,Theoretical Computer Science,10.1007/bfb0017309,Park D.,article,RRexportDavidPark2005
2005,Book,esc/java2: uniting esc/java and jml,255,LNCS,10.1007/978-3-540-30569-9_6,Cok D.R.,article,RRexportDavidR.Cok2005
1976,InProceedings,the economics of software quality assurance,65,Unknown Venue,10.1145/1499799.1499863,Alberts D.S.,article,RRexportDavidS.Alberts1976
1987,InProceedings,self: the power of simplicity,932,Unknown Venue,10.1145/38765.38828,Ungar D.,article,RRexportDavidUngar1987
2001,Journal,hoare logic for java in isabelle/hol,92,Concurrency and Computation Practice and Experience,10.1002/cpe.598,Oheimb D.V.,article,RRexportDavidvonOheimb2001
2009,Journal,a novel approach to generate test cases from uml activity diagrams,115,The Journal of Object Technology,10.5381/jot.2009.8.3.a1,Kundu D.,article,RRexportDebasishKundu2009
1992,InProceedings,specification-based test oracles for reactive systems,236,Unknown Venue,10.1145/143062.143100,Richardson D.J.,article,RRexportDebraJ.Richardson1992
2007,InProceedings,model-driven test generation for system level validation,28,Unknown Venue,10.1109/hldvt.2007.4392792,Mathaikutty D.A.,article,RRexportDeepakA.Mathaikutty2007
2010,Book,a provably correct stackless intermediate representation for java bytecode,27,LNCS,10.1007/978-3-642-17164-2_8,Demange D.,article,RRexportDelphineDemange2010
2012,InProceedings,global and local testing from message sequence charts,6,Unknown Venue,10.1145/2245276.2231987,Longuet D.,article,RRexportDelphineLonguet2012
2005,Book,a theory of distributed objects,112,Springer eBooks,10.1007/b138812,Caromel D.,article,RRexportDenisCaromel2005
2002,Unknown,probabilistic extensions of semantical models,62,Unknown Venue,None,Hartog D.J.I.,article,RRexportdenJeremyIanHartog2002
2003,Journal,algebraic theory of probabilistic and nondeterministic processes,54,The Journal of Logic and Algebraic Programming,10.1016/s1567-8326(02)00040-1,Cazorla D.,article,RRexportDiegoCazorla2003
2004,Journal,tree ssa a new optimization infrastructure for gcc,56,Unknown Venue,None,Novillo D.,article,RRexportDiegoNovillo2004
2000,Book,pomsets for local trace languages,20,LNCS,10.1007/3-540-44618-4_31,Kuske D.,article,RRexportDietrichKuske2000
2008,Journal,compositional verification of sequential programs with procedures,31,Information and Computation,10.1016/j.ic.2008.03.003,Gurov D.,article,RRexportDilianGurov2008
1995,Book,interoperation of object-oriented applications,19,Prentice Hall International (UK) Ltd. eBooks,None,Konstantas D.,article,RRexportDimitriKonstantas1995
1995,Journal,generating test cases for real-time systems from logic specifications,143,ACM Transactions on Computer Systems,10.1145/210223.210226,Mandrioli D.,article,RRexportDinoMandrioli1995
2013,InProceedings,model-based development and verification of control software for electric vehicles,10,Unknown Venue,10.1145/2463209.2488853,Goswami D.,article,RRexportDipGoswami2013
2004,Book,the blast query language for software verification,78,LNCS,10.1007/978-3-540-27864-1_2,Beyer D.,article,RRexportDirkBeyer2004
2004,InProceedings,generating tests from counterexamples,203,Unknown Venue,10.5555/998675.999437,Beyer D.,article,RRexportDirkBeyer2004
2008,InProceedings,program analysis with dynamic precision adjustment,110,Unknown Venue,10.1109/ase.2008.13,Beyer D.,article,RRexportDirkBeyer2008
2009,Unknown,cpachecker: a tool for configurable software verification,11,arXiv (Cornell University),10.48550/arxiv.0902.0019,Beyer D.,article,RRexportDirkBeyer2009
2005,Journal,using maximality-based labeled transition system model for concurrency logic verification,9,The International Arab Journal of Information Technology,None,Saïdouni D.E.,article,RRexportDjamel-EddineSaïdouni2005
2008,InProceedings,focove: formal concurrency verification environment for complex systems,9,AIP conference proceedings,10.1063/1.2953008,Saïdouni D.E.,article,RRexportDjamelEddineSaïdouni2008
2008,InProceedings,aggregation of transitions in marking graph generation based on maximality semantics for petri nets,16,Electronic workshops in computing,10.14236/ewic/vecos2008.1,Saïdouni D.E.,article,RRexportDjamelEddineSaïdouni2008
2001,Journal,failure modes in medical device software: an analysis of 15 years of recall data,198,International Journal of Reliability Quality and Safety Engineering,10.1142/s021853930100058x,WALLACE D.R.,article,RRexportDOLORESR.WALLACE2001
1977,Journal,fast pattern matching in strings,2907,SIAM Journal on Computing,10.1137/0206024,Knuth D.E.,article,RRexportDonaldE.Knuth1977
2005,Book,"feature models, grammars, and propositional formulas",1166,LNCS,10.1007/11554844_3,Batory D.,article,RRexportDonBatory2005
2008,Journal,modularizing theorems for software product lines: the jbook case study,35,JUCS - Journal of Universal Computer Science,None,Batory D.S.,article,RRexportDonS.Batory2008
2006,Journal,an intermediate metamodel with scenarios and resources for generating performance models from uml designs,116,Software & Systems Modeling,10.1007/s10270-006-0026-8,Petriu D.B.,article,RRexportDorinB.Petriu2006
2000,Book,the temporal rover and the atg rover,280,LNCS,10.1007/10722468_19,Drusinsky D.,article,RRexportDoronDrusinsky2000
2006,Book,"modeling and verification using uml statecharts: a working guide to reactive system design, runtime monitoring and execution-based model checking",114,Unknown Venue,None,Drusinsky D.,article,RRexportDoronDrusinsky2006
1979,Unknown,heuristics for determining equivalence of program mutations,116,Unknown Venue,10.21236/ada071795,Baldwin D.,article,RRexportDouglasBaldwin1979
2008,Book,using dynamic symbolic execution to improve deductive verification,9,LNCS,10.1007/978-3-540-85114-1_4,Vanoverberghe D.,article,RRexportDriesVanoverberghe2008
2002,Book,stg: a symbolic test generation tool,93,LNCS,10.1007/3-540-46002-0_34,Clarke D.,article,RRexportDuncanClarke2002
1982,Journal,using branching time temporal logic to synthesize synchronization skeletons,664,Science of Computer Programming,10.1016/0167-6423(83)90017-5,Emerson E.,article,RRexportE.AllenEmerson1982
1990,Journal,temporal and modal logic,851,Unknown Venue,None,Emerson E.A.,article,RRexportE.AllenEmerson1990
1996,Journal,model checking,7141,Unknown Venue,None,Clarke E.,article,RRexportE.Clarke1996
2002,Journal,product planning in quality function deployment using a combined analytic network process and goal programming approach,514,Computers & Industrial Engineering,10.1016/s0360-8352(02)00191-2,Karsak E.,article,RRexportE.ErtugrulKarsak2002
1986,Journal,automatic verification of finite-state concurrent systems using temporal logic specifications,3589,ACM Transactions on Programming Languages and Systems,10.1145/5397.5399,Clarke E.M.,article,RRexportE.M.Clarke1986
2008,InProceedings,model-based testing of automotive systems,189,"International Conference on Software Testing, Verification, and Validation",10.1109/icst.2008.45,Bringmann E.,article,RRexportEckardBringmann2008
2001,Book,testing transition systems: an annotated bibliography,154,LNCS,10.1007/3-540-45510-8_9,Brinksma E.,article,RRexportEdBrinksma2001
2001,Book,testing transition systems an annotated bibliography,154,LNCS,10.1007/3-540-45510-8_9,Brinksma E.,article,RRexportEdBrinksma2001
2002,Journal,construction partnering process and associated critical success factors: quantitative investigation,311,Journal of Management in Engineering,10.1061/(asce)0742-597x(2002)18:4(194),Cheng E.W.L.,article,RRexportEddieW.L.Cheng2002
2004,Book,a tool for checking ansi-c programs,1374,LNCS,10.1007/978-3-540-24730-2_15,Clarke E.,article,RRexportEdmundClarke2004
1999,Book,model checking,4385,Unknown Venue,None,Clarke E.M.,article,RRexportEdmundM.Clarke1999
1979,Journal,programming language constructs for which it is impossible to obtain good hoare axiom systems,168,Journal of the ACM,10.1145/322108.322121,Clarke E.M.,article,RRexportEdmundMelsonClarke1979
1975,Journal,"guarded commands, nondeterminacy and formal derivation of programs",1908,Communications of the ACM,10.1145/360933.360975,Dijkstra E.W.,article,RRexportEdsgerW.Dijkstra1975
2006,Journal,an asynchronous communication model for distributed concurrent objects,170,Software & Systems Modeling,10.1007/s10270-006-0011-2,Johnsen E.B.,article,RRexportEinarBrochJohnsen2006
2008,Book,an object-oriented component model for heterogeneous nets,10,LNCS,10.1007/978-3-540-92188-2_11,Johnsen E.B.,article,RRexportEinarBrochJohnsen2008
2009,Journal,intra-object versus inter-object: concurrency and reasoning in creol,16,Electronic Notes in Theoretical Computer Science,10.1016/j.entcs.2009.07.007,Johnsen E.B.,article,RRexportEinarBrochJohnsen2009
2010,Book,dynamic resource reallocation between deployment components,24,LNCS,10.1007/978-3-642-16901-4_42,Johnsen E.B.,article,RRexportEinarBrochJohnsen2010
2011,Book,validating timed models of deployment components with parametric concurrency,18,LNCS,10.1007/978-3-642-18070-5_4,Johnsen E.B.,article,RRexportEinarBrochJohnsen2011
2007,Journal,"task automata: schedulability, decidability and undecidability",162,Information and Computation,10.1016/j.ic.2007.01.009,Fersman E.,article,RRexportElenaFersman2007
2010,Journal,a uml and colored petri nets integrated modeling and analysis approach using graph transformation,48,The Journal of Object Technology,10.5381/jot.2010.9.4.a2,Kerkouche E.,article,RRexportElhillaliKerkouche2010
2008,Book,costa: design and implementation of a cost and termination analyzer for java bytecode,84,LNCS,10.1007/978-3-540-92188-2_5,Albert E.,article,RRexportElviraAlbert2008
2010,Journal,closed-form upper bounds in static cost analysis,164,Journal of Automated Reasoning,10.1007/s10817-010-9174-1,Albert E.,article,RRexportElviraAlbert2010
2011,Book,simulating concurrent behaviors with worst-case cost bounds,24,LNCS,10.1007/978-3-642-21437-0_27,Albert E.,article,RRexportElviraAlbert2011
2005,Journal,a passive testing approach based on invariants: application to the wap,106,Computer Networks,10.1016/j.comnet.2004.09.009,Bayse E.,article,RRexportEmmanuelBayse2005
2006,Book,on the construction of pullbacks for safe petri nets,13,LNCS,10.1007/11767589_10,Fabre E.,article,RRexportEricFabre2006
2009,Journal,behavioral interface description of an object-oriented language with futures and promises ⋆,32,The Journal of Logic and Algebraic Programming,10.1016/j.jlap.2009.01.001,Ábrahám E.,article,RRexportErikaÁbrahám2009
2009,Book,vcc: a practical system for verifying concurrent c,532,LNCS,10.1007/978-3-642-03359-9_2,Cohen E.,article,RRexportErnieCohen2009
2010,Book,local verification of global invariants in concurrent programs,72,LNCS,10.1007/978-3-642-14295-6_42,Cohen E.,article,RRexportErnieCohen2010
2006,Journal,nontermination inference of logic programs,31,ACM Transactions on Programming Languages and Systems,10.1145/1119479.1119481,Payet E.,article,RRexportEtiennePayet2006
2004,InProceedings,enforceable security policies,45,Unknown Venue,10.1109/fits.2003.1264930,Schneider F.,article,RRexportF.B.Schneider2004
2003,Book,reification of executable test scripts in formal specification-based test generation: the java card transaction mechanism case study,19,LNCS,10.1007/978-3-540-45236-2_42,Bouquet F.,article,RRexportFabriceBouquet2003
2012,Book,stochastic petri nets: an introduction to the theory,266,Unknown Venue,None,Bause F.,article,RRexportFalkoBause2012
2010,Book,stranger: an automata-based string analysis tool for php,142,LNCS,10.1007/978-3-642-12002-2_13,Yu F.,article,RRexportFangYu2010
2006,Book,a temporal calculus of communicating systems,374,Springer eBooks,10.1007/bfb0039073,Moller F.,article,RRexportFaronMoller2006
2009,Journal,precise null-pointer analysis,35,Software & Systems Modeling,10.1007/s10270-009-0132-5,Spoto F.,article,RRexportFaustoSpoto2009
2012,Book,automata learning through counterexample guided abstraction refinement,131,LNCS,10.1007/978-3-642-32759-9_4,Aarts F.,article,RRexportFidesAarts2012
2010,Journal,formal verification of a modern sat solver by shallow embedding into isabelle/hol,55,Theoretical Computer Science,10.1016/j.tcs.2010.09.014,Marić F.,article,RRexportFilipMarić2010
2006,Book,handbook of constraint programming,1542,Foundations of artificial intelligence,10.1016/s1574-6526(06)x8001-x,Rossi F.,article,RRexportFrancescaRossi2006
2005,Journal,a framework for the functional verification of systemc models,23,International Journal of Parallel Programming,10.1007/s10766-005-8908-x,Bruschi F.,article,RRexportFrancescoBruschi2005
2006,Book,an event driven approach to norms in artificial institutions,21,LNCS,10.1007/11775331_10,Viganò F.,article,RRexportFrancescoViganò2006
2006,Journal,structural translation from time petri nets to timed automata,112,Journal of Systems and Software,10.1016/j.jss.2005.12.021,Cassez F.,article,RRexportFranckCassez2006
2007,Book,timed control with observation based and stuttering invariant strategies,39,LNCS,10.1007/978-3-540-75596-8_15,Cassez F.,article,RRexportFranckCassez2007
2010,Book,formal methods for components and objects,9,LNCS,10.1007/978-3-642-17071-3,Boer F.S.,article,RRexportFrankS.Boer2010
2007,Book,a complete guide to the future,178,LNCS,10.1007/978-3-540-71316-6_22,Boer F.S.D.,article,RRexportFrankS.deBoer2007
2010,Book,dating concurrent objects: real-time modeling and schedulability analysis,13,LNCS,10.1007/978-3-642-15375-4_1,Boer F.S.D.,article,RRexportFrankS.deBoer2010
2011,InProceedings,why3: shepherd your herd of provers,190,HAL (Le Centre pour la Communication Scientifique Directe),None,Bobot F.,article,RRexportFrançoisBobot2011
2007,Book,state space abstractions for time petri nets,17,Chapman & Hall/CRC computer and information science series,10.1201/9781420011746.pt6,Vernadat F.,article,RRexportFrançoisVernadat2007
2000,Journal,enforceable security policies,1260,ACM Transactions on Information and System Security,10.1145/353323.353382,Schneider F.B.,article,RRexportFredB.Schneider2000
2006,InProceedings,proving the absence of rtsj related runtime errors through data flow analysis,10,Unknown Venue,10.1145/1167999.1168025,Siebert F.,article,RRexportFridtjofSiebert2006
2002,Journal,virtual time and global states of distributed systems,1270,Unknown Venue,None,Mattern F.,article,RRexportFriedemannMattern2002
1998,Book,case studies in meta-level theorem proving,20,LNCS,10.1007/bfb0055152,Henke F.W.V.,article,RRexportFriedrichW.vonHenke1998
1994,Journal,forecasting foreign exchange rates: a comparative evaluation of ahp,26,Omega,10.1016/0305-0483(94)90031-0,Ülengin F.,article,RRexportFÜlengin1994
2005,Journal,multicriteria decision making for enhanced perception-based multimedia communication,13,IEEE Transactions on Systems Man and Cybernetics - Part A Systems and Humans,10.1109/tsmca.2005.851281,Ghinea G.,article,RRexportG.Ghinea2005
1970,Journal,a method for the design of fault detection experiments,296,IEEE Transactions on Computers,10.1109/t-c.1970.222975,Gonenc G.,article,RRexportG.Gonenc1970
2004,InProceedings,generating efficient test sets with a model checker,96,Software Engineering and Formal Methods,10.1109/sefm.2004.21,Hamon G.,article,RRexportG.Hamon2004
1997,Journal,the model checker spin,3787,IEEE Transactions on Software Engineering,10.1109/32.588521,Holzmann G.,article,RRexportG.J.Holzmann1997
1988,Journal,a timed model for communicating sequential processes,284,Theoretical Computer Science,10.1016/0304-3975(88)90030-8,Reed G.,article,RRexportG.M.Reed1988
2004,Book,graph transformations in omg’s model-driven architecture,12,LNCS,10.1007/978-3-540-25959-6_18,Karsai G.,article,RRexportGaborKarsai2004
2009,Book,model-based design for embedded systems,95,"Computational analysis, synthesis, and design of dynamic models series",10.1201/9781420067859,Nicolescu G.,article,RRexportGabrielaNicolescu2009
2006,Journal,timers for distributed systems,41,Electronic Notes in Theoretical Computer Science,10.1016/j.entcs.2006.07.013,Ciobanu G.,article,RRexportGabrielCiobanu2006
2008,Book,modelling and verification of timed interaction and migration,19,Fundamental Approaches to Software Engineering,10.1007/978-3-540-78743-3_16,Ciobanu G.,article,RRexportGabrielCiobanu2008
2011,Book,timed migration and interaction with access permissions,14,LNCS,10.1007/978-3-642-21437-0_23,Ciobanu G.,article,RRexportGabrielCiobanu2011
2011,Journal,flexible software architecture and language for mobile agents,30,Concurrency and Computation Practice and Experience,10.1002/cpe.1854,Ciobanu G.,article,RRexportGabrielCiobanu2011
2011,Journal,timed mobility in process algebra and petri nets,24,The Journal of Logic and Algebraic Programming,10.1016/j.jlap.2011.05.002,Ciobanu G.,article,RRexportGabrielCiobanu2011
1999,Book,jml: a notation for detailed design,426,Springer eBooks,10.1007/978-1-4615-5229-1_12,Leavens G.T.,article,RRexportGaryT.Leavens1999
2004,Journal,how the design of jml accommodates both runtime assertion checking and formal verification,190,Science of Computer Programming,10.1016/j.scico.2004.05.015,Leavens G.T.,article,RRexportGaryT.Leavens2004
2006,Journal,design by contract with jml,195,Unknown Venue,None,Leavens G.T.,article,RRexportGaryT.Leavens2006
2007,InProceedings,sound and precise analysis of web applications for injection vulnerabilities,354,Unknown Venue,10.1145/1250734.1250739,Wassermann G.,article,RRexportGaryWassermann2007
2008,InProceedings,static detection of cross-site scripting vulnerabilities,385,Unknown Venue,10.1145/1368088.1368112,Wassermann G.,article,RRexportGaryWassermann2008
1996,Book,breaking and fixing the needham-schroeder public-key protocol using fdr,832,LNCS,10.1007/3-540-61042-1_43,Lowe G.,article,RRexportGavinLowe1996
2005,Book,16 ttcn-3,3,LNCS,10.1007/11498490_21,Din G.,article,RRexportGeorgeDin2005
2003,Book,"spin model checker, the: primer and reference manual",1999,Addison-Wesley Professional eBooks,None,Holzmann G.,article,RRexportGerardHolzmann2003
2004,Book,a tutorial on uppaal,1536,LNCS,10.1007/978-3-540-30080-9_7,Behrmann G.,article,RRexportGerdBehrmann2004
1996,Book,hybrid systems iii,238,LNCS,10.1007/bfb0020931,Goos G.,article,RRexportGerhardGoos1996
2006,Book,"mobius: mobility, ubiquity, security objectives and progress report",93,Unknown Venue,None,Barthe G.,article,RRexportGillesBarthe2006
2007,Book,mobius mobility ubiquity security,11,Trustworthy Global Computing,10.1007/978-3-540-75336-0_2,Barthe G.,article,RRexportGillesBarthe2007
1991,Book,testing against formal specifications: a theoretical view,83,LNCS,10.1007/3540539816_63,Bernot G.,article,RRexportGillesBernot1991
2001,Journal,constraint-based deductive model checking,77,International Journal on Software Tools for Technology Transfer,10.1007/s100090100049,Delzanno G.,article,RRexportGiorgioDelzanno2001
1979,Book,the art of software testing,3052,Unknown Venue,None,Myers G.J.,article,RRexportGlenfordJ.Myers1979
2005,Book,"petri nets, morphisms and compositionality",17,Springer eBooks,10.1007/bfb0016226,Winskel G.,article,RRexportGlynnWinskel2005
2008,Book,slr: path-sensitive analysis through infeasible-path detection and syntactic language refinement,36,LNCS,10.1007/978-3-540-69166-2_16,Balakrishnan G.,article,RRexportGogulBalakrishnan2008
2005,InProceedings,aspect-oriented programming and modular reasoning,283,Unknown Venue,10.1145/1062455.1062482,Kiczales G.,article,RRexportGregorKiczales2005
2006,Journal,efficient path conditions in dependence graphs for software safety analysis,141,ACM Transactions on Software Engineering and Methodology,10.1145/1178625.1178628,Snelting G.,article,RRexportGregorSnelting2006
2008,Book,testing systems specified as partial order input/output automata,37,LNCS,10.1007/978-3-540-68524-1_13,Bochmann G.v.,article,RRexportGregorv.Bochmann2008
1997,Book,"handbook of formal languages, vol 3: beyond words",158,Springer eBooks,None,Rozenberg G.,article,RRexportGrzegorzRozenberg1997
2005,Journal,test de systèmes réactifs non réceptifs,13,Journal Européen des Systèmes Automatisés,10.3166/jesa.39.255-270,Lestiennes G.,article,RRexportGrégoryLestiennes2005
2006,Journal,optimization of wastewater treatment alternative selection by hierarchy grey relational analysis,224,Journal of Environmental Management,10.1016/j.jenvman.2005.12.024,Zeng G.,article,RRexportGuangmingZeng2006
2007,Journal,substantive and procedural norms in normative multiagent systems,54,Journal of Applied Logic,10.1016/j.jal.2007.06.006,Boella G.,article,RRexportGuidoBoella2007
1986,Book,actors: a model of concurrent computation in distributed systems,2299,Unknown Venue,None,Agha G.,article,RRexportGulAgha1986
1986,Book,actors,1301,Unknown Venue,10.7551/mitpress/1086.001.0001,Agha G.,article,RRexportGulAgha1986
2006,Book,message confidentiality testing of security protocols: passive monitoring and active checking,10,LNCS,10.1007/11754008_23,Shu G.,article,RRexportGuoqiangShu2006
1995,Journal,interpretive case studies in is research: nature and method,3709,European Journal of Information Systems,10.1057/ejis.1995.9,Walsham G.,article,RRexportGWalsham1995
1999,Book,testing of communicating systems,137,IFIP advances in information and communication technology,10.1007/978-0-387-35567-2,Csopaki G.,article,RRexportGyulaCsopaki1999
2003,Book,applying mutation analysis to sdl specifications,21,LNCS,10.1007/3-540-45075-0_16,Kovács G.,article,RRexportGáborKovács2003
2012,Journal,transforming data* with dotty format to aggregate region automaton,3,International Journal of Computer Applications,10.5120/4647-6721,Hachichi H.,article,RRexportH.Hachichi2012
2004,Journal,compositional based testing with ioco,0,Unknown Venue,None,Bijl H.V.D.,article,RRexportH.M.vanderBijl2004
1991,Journal,a test sequence selection method for protocol testing,113,IEEE Transactions on Communications,10.1109/26.81739,Ural H.,article,RRexportH.Ural1991
2009,InProceedings,cdx: a family of real-time java benchmarks,5,Unknown Venue,None,Jeff H.,article,RRexportHagelbergJeff2009
2010,InProceedings,timing analysis and optimization of flexray dynamic segment,30,Unknown Venue,10.1109/cit.2010.329,Zeng H.,article,RRexportHaiboZeng2010
2012,Book,towards model-based testing of electronic funds transfer systems,13,LNCS,10.1007/978-3-642-29320-7_17,Asaadi H.R.,article,RRexportHamidRezaAsaadi2012
2010,InProceedings,automated conformance verification of hybrid systems,32,Unknown Venue,10.1109/qsic.2010.53,Brandl H.,article,RRexportHaraldBrandl2010
2005,Journal,modular verification of open features using three-valued model checking,52,Automated Software Engineering,10.1007/s10515-005-2643-9,Li H.C.,article,RRexportHarryC.Li2005
2007,Book,an efsm-based passive fault detection approach,29,LNCS,10.1007/978-3-540-73066-8_23,Ural H.,article,RRexportHasanUral2007
2007,InProceedings,an improved approach to passive testing of fsm-based systems,6,Unknown Venue,10.1109/ast.2007.1,Ural H.,article,RRexportHasanUral2007
2008,Book,non-termination checking for imperative programs,58,Tests and Proofs,10.1007/978-3-540-79124-9_11,Velroyen H.,article,RRexportHelgaVelroyen2008
2010,InProceedings,timed moore automata: test data generation and model checking,22,Unknown Venue,10.1109/icst.2010.60,Löding H.,article,RRexportHelgeLöding2010
1996,Book,deductive model checking,51,LNCS,10.1007/3-540-61474-5_70,Sipma H.B.,article,RRexportHennyB.Sipma1996
2005,Book,timed testing with torx,47,LNCS,10.1007/11526841_13,Bohnenkamp H.,article,RRexportHenrikBohnenkamp2005
2005,Book,timed testing with torx,47,LNCS,10.1007/11526841_13,Bohnenkamp H.,article,RRexportHenrikBohnenkamp2005
2014,Book,distributed testing of concurrent systems: vector clocks to the rescue,6,LNCS,10.1007/978-3-319-10882-7_22,León H.P.D.,article,RRexportHernánPonce-de-León2014
2015,Book,building bridges between sets of partial orders,5,LNCS,10.1007/978-3-319-15579-1_11,León H.P.D.,article,RRexportHernánPonce-de-León2015
2012,Book,conformance relations for labeled event structures,14,LNCS,10.1007/978-3-642-30473-6_8,León H.P.D.,article,RRexportHernánPoncedeLeón2012
2013,Book,unfolding-based test selection for concurrent conformance,15,LNCS,10.1007/978-3-642-41707-8_7,León H.P.D.,article,RRexportHernánPoncedeLeón2013
2014,Journal,model-based testing for concurrent systems with labelled event structures,10,Software Testing Verification and Reliability,10.1002/stvr.1543,León H.P.D.,article,RRexportHernánPoncedeLeón2014
2008,Journal,model-driven validation of systemc designs,12,EURASIP Journal on Embedded Systems,10.1155/2008/519474,Patel H.D.,article,RRexportHirenDPatel2008
2013,InProceedings,verifying systemc using an intermediate verification language and symbolic simulation,48,Unknown Venue,10.1145/2463209.2488877,Le H.M.,article,RRexportHoangM.Le2013
1997,Journal,software unit test coverage and adequacy,1227,ACM Computing Surveys,10.1145/267580.267590,Zhu H.,article,RRexportHongZhu1997
2004,Book,rule-based runtime verification,370,LNCS,10.1007/978-3-540-24622-0_5,Barringer H.,article,RRexportHowardBarringer2004
1998,Book,"open/cæsar: an open software architecture for verification, simulation, and testing",161,LNCS,10.1007/bfb0054165,Garavel H.,article,RRexportHubertGaravel1998
2001,Journal,"system design of a cc-numa multiprocessor architecture using formal specification, model-checking, co-simulation, and test generation",29,International Journal on Software Tools for Technology Transfer,10.1007/s100090100044,Garavel H.,article,RRexportHubertGaravel2001
2009,InProceedings,verification of an industrial systemc/tlm model using lotos and cadp,34,Unknown Venue,10.1109/memcod.2009.5185377,Garavel H.,article,RRexportHubertGaravel2009
2009,InProceedings,verification of an industrial systemc/tlm model using lotos and cadp,34,Unknown Venue,10.1109/memcod.2009.5185377,Garavel H.,article,RRexportHubertGaravel2009
2012,Journal,cadp 2011: a toolbox for the construction and analysis of distributed processes,262,International Journal on Software Tools for Technology Transfer,10.1007/s10009-012-0244-z,Garavel H.,article,RRexportHubertGaravel2012
2001,Journal,automatic test generation from statecharts using model checking,58,Unknown Venue,None,Hong H.S.,article,RRexportHyoungSeokHong2001
2002,Book,a temporal logic based theory of test coverage and generation,144,LNCS,10.1007/3-540-46002-0_23,Hong H.S.,article,RRexportHyoungSeokHong2002
2003,InProceedings,data flow testing as model checking,92,International Conference on Software Engineering,10.5555/776816.776844,Hong H.S.,article,RRexportHyoungSeokHong2003
2004,Book,using smart connectors to resolve partial matching problems in cots component acquisition,27,LNCS,10.1007/978-3-540-24774-6_5,Min H.G.,article,RRexportHyunGiMin2004
1986,Book,refusal testing,74,LNCS,10.1007/3-540-16761-7_80,Phillips I.,article,RRexportIainPhillips1986
1987,Journal,refusal testing,152,Theoretical Computer Science,10.1016/0304-3975(87)90117-4,Phillips I.,article,RRexportIainPhillips1987
2006,Book,software engineering: (update) (8th edition) (international computer science),64,"Addison-Wesley Longman Publishing Co., Inc. eBooks",None,Sommerville I.,article,RRexportIanSommerville2006
2005,Book,free-algebra models for the π-calculus,8,LNCS,10.1007/978-3-540-31982-5_10,Stark I.,article,RRexportIanStark2005
2002,Unknown,model‐based software testing,232,Encyclopedia of Software Engineering,10.1002/0471028959.sof207,El‐Far I.K.,article,RRexportIbrahimK.El‐Far2002
2002,Book,unitesk test suite architecture,57,LNCS,10.1007/3-540-45614-7_5,Bourdonov I.B.,article,RRexportIgorB.Bourdonov2002
2009,InProceedings,model evolution by run-time parameter adaptation,264,Unknown Venue,10.1109/icse.2009.5070513,Epifani I.,article,RRexportIleniaEpifani2009
2010,Book,delta-oriented programming of software product lines,320,LNCS,10.1007/978-3-642-15579-6_6,Schaefer I.,article,RRexportInaSchaefer2010
2010,InProceedings,pure delta-oriented programming,61,Unknown Venue,10.1145/1868688.1868696,Schaefer I.,article,RRexportInaSchaefer2010
2011,Journal,formal methods in software product line engineering,43,Computer,10.1109/mc.2011.47,Schaefer I.,article,RRexportInaSchaefer2011
2011,InProceedings,compositional type-checking for delta-oriented programming,64,Unknown Venue,10.1145/1960275.1960283,Schaefer I.,article,RRexportInaSchaefer2011
2003,Book,the uml 20 testing profile and its relation to ttcn-3,46,LNCS,10.1007/3-540-44830-6_7,Schieferdecker I.,article,RRexportInaSchieferdecker2003
2006,Book,"dynamic frames: support for framing, dependencies and sharing without restrictions",178,LNCS,10.1007/11813040_19,Kassios I.T.,article,RRexportIoannisT.Kassios2006
2009,Book,bridging the gap between algebraic specification and object-oriented generic programming,15,LNCS,10.1007/978-3-642-04694-0_9,Nunes I.,article,RRexportIsabelNunes2009
